"year" "cites" "Name" "Department"
"1" 2003 16 "Michael Duncan" "Urban and Regional Planning"
"2" 2004 21 "Michael Duncan" "Urban and Regional Planning"
"3" 2005 61 "Michael Duncan" "Urban and Regional Planning"
"4" 2006 58 "Michael Duncan" "Urban and Regional Planning"
"5" 2007 105 "Michael Duncan" "Urban and Regional Planning"
"6" 2008 109 "Michael Duncan" "Urban and Regional Planning"
"7" 2009 109 "Michael Duncan" "Urban and Regional Planning"
"8" 2010 134 "Michael Duncan" "Urban and Regional Planning"
"9" 2011 142 "Michael Duncan" "Urban and Regional Planning"
"10" 2012 184 "Michael Duncan" "Urban and Regional Planning"
"11" 2013 209 "Michael Duncan" "Urban and Regional Planning"
"12" 2014 241 "Michael Duncan" "Urban and Regional Planning"
"13" 2015 253 "Michael Duncan" "Urban and Regional Planning"
"14" 2016 294 "Michael Duncan" "Urban and Regional Planning"
"15" 2017 295 "Michael Duncan" "Urban and Regional Planning"
"16" 2018 318 "Michael Duncan" "Urban and Regional Planning"
"17" 2019 262 "Michael Duncan" "Urban and Regional Planning"
"18" 2020 43 "Michael Duncan" "Urban and Regional Planning"
"19" 1995 5 "Petra Doan" "Urban and Regional Planning"
"20" 1996 2 "Petra Doan" "Urban and Regional Planning"
"21" 1997 2 "Petra Doan" "Urban and Regional Planning"
"22" 1998 5 "Petra Doan" "Urban and Regional Planning"
"23" 1999 6 "Petra Doan" "Urban and Regional Planning"
"24" 2000 7 "Petra Doan" "Urban and Regional Planning"
"25" 2001 5 "Petra Doan" "Urban and Regional Planning"
"26" 2002 2 "Petra Doan" "Urban and Regional Planning"
"27" 2003 3 "Petra Doan" "Urban and Regional Planning"
"28" 2004 3 "Petra Doan" "Urban and Regional Planning"
"29" 2005 7 "Petra Doan" "Urban and Regional Planning"
"30" 2006 6 "Petra Doan" "Urban and Regional Planning"
"31" 2007 4 "Petra Doan" "Urban and Regional Planning"
"32" 2008 7 "Petra Doan" "Urban and Regional Planning"
"33" 2009 14 "Petra Doan" "Urban and Regional Planning"
"34" 2010 37 "Petra Doan" "Urban and Regional Planning"
"35" 2011 25 "Petra Doan" "Urban and Regional Planning"
"36" 2012 40 "Petra Doan" "Urban and Regional Planning"
"37" 2013 66 "Petra Doan" "Urban and Regional Planning"
"38" 2014 92 "Petra Doan" "Urban and Regional Planning"
"39" 2015 135 "Petra Doan" "Urban and Regional Planning"
"40" 2016 125 "Petra Doan" "Urban and Regional Planning"
"41" 2017 157 "Petra Doan" "Urban and Regional Planning"
"42" 2018 145 "Petra Doan" "Urban and Regional Planning"
"43" 2019 196 "Petra Doan" "Urban and Regional Planning"
"44" 2020 33 "Petra Doan" "Urban and Regional Planning"
"45" 2008 3 "Christopher Coutts" "Urban and Regional Planning"
"46" 2009 4 "Christopher Coutts" "Urban and Regional Planning"
"47" 2010 12 "Christopher Coutts" "Urban and Regional Planning"
"48" 2011 18 "Christopher Coutts" "Urban and Regional Planning"
"49" 2012 20 "Christopher Coutts" "Urban and Regional Planning"
"50" 2013 41 "Christopher Coutts" "Urban and Regional Planning"
"51" 2014 38 "Christopher Coutts" "Urban and Regional Planning"
"52" 2015 69 "Christopher Coutts" "Urban and Regional Planning"
"53" 2016 111 "Christopher Coutts" "Urban and Regional Planning"
"54" 2017 114 "Christopher Coutts" "Urban and Regional Planning"
"55" 2018 135 "Christopher Coutts" "Urban and Regional Planning"
"56" 2019 187 "Christopher Coutts" "Urban and Regional Planning"
"57" 2020 31 "Christopher Coutts" "Urban and Regional Planning"
"58" 2009 6 "William Butler" "Urban and Regional Planning"
"59" 2010 14 "William Butler" "Urban and Regional Planning"
"60" 2011 14 "William Butler" "Urban and Regional Planning"
"61" 2012 27 "William Butler" "Urban and Regional Planning"
"62" 2013 27 "William Butler" "Urban and Regional Planning"
"63" 2014 50 "William Butler" "Urban and Regional Planning"
"64" 2015 66 "William Butler" "Urban and Regional Planning"
"65" 2016 43 "William Butler" "Urban and Regional Planning"
"66" 2017 106 "William Butler" "Urban and Regional Planning"
"67" 2018 132 "William Butler" "Urban and Regional Planning"
"68" 2019 136 "William Butler" "Urban and Regional Planning"
"69" 2020 28 "William Butler" "Urban and Regional Planning"
"70" 2012 2 "Miranda Waggoner" "Sociology"
