Name,ID,Department
Larry Polivka,,Economics
Mackenzie Alston,,Economics
Manoj Atolia,ndkMN8IAAAAJ,Economics
Seungjum Baek,,Economics
Paul Beaumont,,Economics
Luke Boosey,l_XJTJQAAAAJ,Economics
Javier Cano-Urbina,rDmatRoAAAAJ,Economics
David Cooper,HuWejscAAAAJ,Economics
Mikhail Dmitriev,XvjJ-u8AAAAJ,Economics
Matthew Gentry,,Economics
Zachary Grossman,-wPsSqcAAAAJ,Economics
James Gwartney,,Economics
Josh Hamman,,Economics
Randall Holcombe,SwkqKIIAAAAJ,Economics
Keith Ihlanfeldt,ahAsw9QAAAAJ,Economics
Robert Mark Isaac,,Economics
Shawn Kantor,,Economics
Carl Kitches,3YxxKvUAAAAJ,Economics
Jonathan Kreamer,,Economics
R. Vijay Krishna,izMRk6wAAAAJ,Economics
Milton Marquis,b9r4HwUAAAAJ,Economics
Patrick Mason,v7rtSMUAAAAJ,Economics
Stefan Norrbin,,Economics
Svetlana Pevnitskaya,,Economics
Luke Rodgers,,Economics
Dmitry Ryvkin,L9ciRBUAAAAJ,Economics
Carl Schmertmann,,Economics
Anastasia Semykina,,Economics
Cynthia Yang,uwaa0M0AAAAJ,Economics
Thomas Zuehlke,,Economics
James Elsner,uF8tRWQAAAAJ,Geography
Mabel Gergan,brNaEAsAAAAJ,Geography
Mark Horner,WaiqcVcAAAAJ,Geography
Sarah Lester,d4KNZWEAAAAJ,Geography
Tyler McCreary,dLO_EsoAAAAJ,Geography
Victor Mesev,NJgoH2YAAAAJ,Geography
Stephanie Pau,0pIuR1IAAAAJ,Geography
Sage Ponder,I9AhwXAAAAAJ,Geography
Christopher Uejio,pwKHg7oAAAAJ,Geography
Sandy Wong,4JSwERAAAAAJ,Geography
Tingting Zhao,bYJ86_kAAAAJ,Geography
Bradford Johnson,S5HP8uEAAAAJ,Geography
Doug Ahler,Dj2b2XcAAAAJ,Political Science
Charles Barrilleaux,bNLIuo8AAAAJ,Political Science
Quintin Beazer,dnSnX6cAAAAJ,Political Science
William Berry,ISBNUTUAAAAJ,Political Science
Inken Von Borzyskowski,fOqwHDgAAAAJ,Political Science
Eric Coleman,kV5fqWIAAAAJ,Political Science
Raphael Cunha,,Political Science
Amanda Driscoll,e45ZlG0AAAAJ,Political Science
Marina Duque,ZZY5EK8AAAAJ,Political Science
Sean Ehrlick,IxlLjuUAAAAJ,Political Science
Brad Gomez,7Mh-cm4AAAAJ,Political Science
Jens Grosser,K60pmSYAAAAJ,Political Science
Hans Hassell,JA-ZKQgAAAAJ,Political Science
Robert Jackson,frVhvAcAAAAJ,Political Science
Holger Kern,6SW_DHYAAAAJ,Political Science
Christopher Li,,Political Science
Kai Ou,CSjL0YEAAAAJ,Political Science
Matthew Pietryka,3cKmIvQAAAAJ,Political Science
Carlisle Rainey,otXLf3wAAAAJ,Political Science
Christopher Reenock,zn-z-hQAAAAJ,Political Science
Carolyn Roush,,Political Science
Mark Souva,Y-Y7-iAAAAAJ,Political Science
Carol Weissert,G_X39qwAAAAJ,Political Science
William Weissert ,,Political Science
Michelle Whyman,,Political Science
David Berlan,Z4v_eooAAAAJ,Public Administration
Frances Berry,3nNSs68AAAAJ,Public Administration
James Bowman,,Public Administration
Ralph Brower,,Public Administration
Daniel Fay,Fs1OOtQAAAAJ,Public Administration
Richard Feiock,21Y3XFsAAAAJ,Public Administration
Keon-Hyung Lee,UdhGAdMAAAAJ,Public Administration
Sue Titus Reid,,Public Administration
Tian Tang,,Public Administration
Gary VanLandingham,,Public Administration
James Wright,qB_jPqUAAAAJ,Public Administration
Kaifeng Yang,L6mVZu8AAAAJ,Public Administration
Anne Barrett,zMzb8eMAAAAJ,Sociology
Karin Brewster,LVyLh3kAAAAJ,Sociology
Shantel Buggs,TFDon84AAAAJ,Sociology
Amy Burdette,EnAre94AAAAJ,Sociology
Elwood Carlson,eCrSkmQAAAAJ,Sociology
Dawn Carr,YqPziM8AAAAJ,Sociology
Katrinell Davis,,Sociology
Mathew Hauer,SI0ST5YAAAAJ,Sociology
Patricia Homan,k9_aRNIAAAAJ,Sociology
Michael mcFarland,0I56M5oAAAAJ,Sociology
Irene Padavic,xXfBJ50AAAAJ,Sociology
John Reynolds,-NF5ROwAAAAJ,Sociology
Deana Rohlinger,Pg36S-AAAAAJ,Sociology
Paromita Sanyal,RmkzFLIAAAAJ,Sociology
Doug Schrock,tZoCfDMAAAAJ,Sociology
Sourabh Singh,,Sociology
John Taylor,BSGbODAAAAAJ,Sociology
Miles Taylor,m_5EMqYAAAAJ,Sociology
Kathryn Tillman,,Sociology
Koji Ueno,n0r06_UAAAAJ,Sociology
Miranda Waggoner,E7zsqUMAAAAJ,Sociology
Jeff Brown,,Urban and Regional Planning
William Butler,Mk29S08AAAAJ,Urban and Regional Planning
Christopher Coutts,l1E3KCoAAAAJ,Urban and Regional Planning
Petra Doan,i15z4REAAAAJ,Urban and Regional Planning
Michael Duncan,H3h-6zMAAAAJ,Urban and Regional Planning
Kerry Fang,,Urban and Regional Planning
Tisha Holmes,,Urban and Regional Planning
April Jackson,,Urban and Regional Planning
Minjee Kim,,Urban and Regional Planning
Dennis Smith,,Urban and Regional Planning
